report_id,turn_index,version,teacher_agent,teacher_mode,teacher_why,human_agent,human_mode,notes
Double_SWKS/2008/page_105.pdf,4,v3_1,calculator,calculator/wrong-computation,"The triage correctly identified this as a ""program"" question (individual price = total spent / number of shares), but it was misclassified as ""number,"" so no calculator stage produced a division program. Even accepting that, the pipeline simply reused the prior average-price answer (7) instead of computing per-share price. The gold program computes 0.25, which only makes sense if the actual per-share price is $0.25 — this is inconsistent with Q1/Q2 history (30.1 million / 4.3 million ≈ 7.0), suggesting the ""individual price"" refers to a DIFFERENT set of shares (e.g., the authorized shares in Q4, or a par value), so reusing the March 2007 repurchase figures was itself a misresolution of the reference ""those shares.""",,,
Double_SNPS/2006/page_69.pdf,3,v3_1,retriever,retriever/wrong-period,"The gold program is multiply(3.4, const_1000), divide(#0, 15704), which means goodwill (3.4 million) must be converted to thousands (3400) before dividing by 15704 (the total purchase price in thousands). The retriever returned the total purchase price as 15704.0 despite the sub-question asking ""in millions"" and despite the document table being headed ""(in thousands)"". Because the table value is in thousands, returning 15704.0 for a ""in millions"" request put the two operands on different scales (3.4 million vs 15704 thousands), so the calculator computed 3.4/15704 ≈ 0.022% instead of 3400/15704 ≈ 22%.",,,
Double_ADBE/2011/page_83.pdf,2,v3_1,preprocess,preprocess/wrong-operation,"The question asks which of the two values is highest, i.e. a comparison that should yield a relational/boolean answer (""no"", since 6 is not greater than 10). The preprocess agent correctly recognized this is a comparison but then chose the wrong program, emitting `subtract(B, A)` to ""indicate which is higher,"" rather than `greater(6, 10)` or a max/argmax program. That subtract program then fed wrong operands/orientation downstream, and the calculator ultimately produced the numeric answer ""B"" instead of the required yes/no or ""customer contracts"" identification. The first divergence from the gold program (`greater(6, 10)`) is the choice of a subtraction operation instead of a comparison operation at the preprocess stage.",,,
Double_HIG/2016/page_253.pdf,0,v3_1,retriever,retriever/wrong-value,"The retriever retrieved the correct source table but over-read the footnote. The footnote ""[1] excludes expected future minimum sublease income"" is attached to the *total* minimum lease payments line and describes what the disclosed totals already net out. The table's 2017 operating-lease row value of 42.0 is already the net obligation excluding sublease income, so the answer is 42, not 40. The retriever incorrectly subtracted the footnote's separately-stated 2017 sublease income ($2 million) from the 42.0 figure, double-netting a value that was already net. The gold answer (42) confirms the table value is already the net figure.",,,
Single_UNP/2015/page_80.pdf-3,2,v3_1,triage,triage/wrong-turn-type,"The question asks for ""operating leases OVER the total minimum payments,"" which is a ratio/computation requiring division of operating leases (3430) by total minimum payments (5017). The triage agent misclassified this as a ""number"" lookup, treating it as a direct value retrieval of the operating leases line item. This short-circuited the preprocess and calculator stages, so the pipeline returned 3430.0 instead of computing the ratio 3430/5017 ≈ 68%.",,,
Single_DVN/2014/page_88.pdf-2,1,v3_1,retriever,retriever/wrong-value,"The question asks for ""the total of those cash proceeds,"" which the gold answer resolves to 2.2 (i.e., approximately $2.2 billion). The document's text explicitly states the cash proceeds were ""approximately $2.2 billion,"" but the retriever instead returned the table's ""net proceeds"" row value of 2248.0 (in millions), which is a different, more granular figure ($2.248 billion) rather than the stated cash-proceeds amount. The preprocess correctly emitted a single direct-lookup sub-question for the cash proceeds, and the calculator faithfully propagated the retrieved 2248, so the divergence originates at retrieval. The retriever conflated the table's ""net proceeds"" cell with the textual ""cash proceeds"" figure and returned a value in the wrong units/scale.",,,
Single_GS/2013/page_145.pdf-2,2,v3_1,preprocess,misresolved-reference,"The question ""and the value for 201d?"" follows a thread where 201c maps to a specific year's market-making loss (1.29). The preprocess agent guessed an obfuscation scheme and invented ""201c = 2015, 201d = 2016,"" then rewrote the sub-question as ""aggregate amount of losses for market making in 2016"" — a year not present in a 2013 report. It should have resolved ""201d"" to the actual next comparable cell/row in the same document (the value 324) rather than fabricating a year mapping. The invented year forced the retriever to fall back to the known 1.29 value, cascading to a wrong/no answer.",,,
Single_AON/2010/page_61.pdf-2,0,v3_1,retriever,wrong-value,"The question asks for the ""change in long-term rate of return on plan assets increase"" (i.e., the stated change in rate, likely a basis-point figure), but the retriever looked for the absolute ""long-term rate of return on plan assets for US plans"" value in dollar columns and concluded no rate value exists. The document actually reports the change in long-term rate of return on plan assets for US plans directly (the gold answer is 14, a percentage-point change), but the retriever searched for the wrong metric — the rate itself rather than its reported change — and returned empty strings. This empty lookup cascaded into the calculator returning ""no"". The first mistaken divergence is the retriever returning the wrong value (none) because it targeted the absolute rate instead of the directly reported change value.",,,
Single_ADBE/2011/page_101.pdf-1,1,v3_1,preprocess,preprocess/misresolved-reference,"The question ""what about the maximum?"" refers back to Q1's ""minimum unrecognized tax benefits"" — but Q1 was itself a computed aggregate (minimum = 0), which suggests the minimum/maximum were being read from a range or list of amounts, not from the full unrecognized-tax-benefits balance table. The preprocess stage auto-resolved ""maximum"" to ""maximum unrecognized tax benefits"" as a single value consisting of the ending balances across years (163607 vs 156925), but the gold answer (40) shows the intended vein was a minimum/maximum of a *range* of some individual line items (where minimum is 0 and maximum is 40), likely the unrecognized tax benefits net decreases/settlements or a per-year range column — not the aggregate ending balance. By treating the prior turn's minimum as an aggregate and mapping ""maximum"" to the largest ending balance, preprocess steered the retriever to the wrong cell set.",,,
Single_GRMN/2008/page_98.pdf-1,1,v3_1,preprocess,wrong-output-format,"The gold program is divide(0.3845, 0.3677), subtract(#0, const_1), and the gold answer is 4.5%. The pipeline computed subtract(0.9563..., 1) = -0.0437..., which is the raw decimal, but the gold answer expresses the result as a percentage (4.5%). The divergence is purely in final formatting/scale: the preprocess (and downstream calculator) treated the ratio-minus-1 as a plain decimal fraction, whereas the expected convention is a percentage change expressed in percent form. The first mistake is that the preprocess output did not signal that the result of the subtraction should be multiplied by 100 and presented as a percentage.",,,
Single_HII/2012/page_127.pdf-3,2,v3_1,preprocess,preprocess/wrong-operation,"The question ""what is the total number approved by security holders?"" is a follow-up that asks for the TOTAL of the two previously-asked rows: the securities to be issued upon exercise (3946111.0) and the shares available for future issuance (3608527.0). The preprocess agent instead mapped the question to only Q1's value (3946111.0), treating ""total approved by security holders"" as synonymous with a single row rather than summing the two security-holder-approved quantities already established in the conversation. This produced program ""A"" (direct single lookup) instead of add(3946111, 3608527), which is the gold program.",,,
Single_DISCA/2013/page_60.pdf-3,2,v3_1,preprocess,preprocess/wrong-operation,"The preprocess agent miscomputed the count of years. Using the first year 2008 and last year 2013, the number of years with information is (2013 - 2008) + 1 = 6 years, inclusive. However, the agent's own reasoning text explicitly says ""count the years from 2008 to 2013 inclusive... (2013 - 2008) + 1 = 6"", yet it emitted a program of ""5"" (i.e., a plain subtraction without the +1 inclusive adjustment). This off-by-one error propagated downstream: the calculator received program ""5"" but returned ""no"" (also failing), and the gold answer is 5 — which is itself suspect, because an inclusive year-span of 2008–2013 is 6 years, not 5.",,,
Single_DRE/2007/page_59.pdf-1,0,v3_1,retriever,retriever/wrong-value,"The gold answer is 5829, which is exactly the table cell ""other liabilities assumed"" (=-5829). The question ""what was the value of liabilities assumed"" maps to that specific row, but the retriever instead summed two distinct components — ""debt assumed"" (148527) and ""other liabilities assumed"" (5829) — producing 154356. Even though the retriever's own cited rule said ""if a question asks for a single named metric and the document lists multiple components, don't sum them,"" it overrode that rule by reinterpreting the question as a total, and it also silently stripped a negative sign while summing. The correct single-value lookup was available in the table; no summation was warranted.",,,
Double_AAPL/2013/page_41.pdf,4,v3_1,preprocess,preprocess/misresolved-reference,"""This total"" should refer to the immediately prior answer (Q4: purchase obligations = 18616.0), not the Q3 difference (13.8). The question asks what percentage the purchase obligations total represented in relation to total contractual obligations. The preprocess agent instead bound ""this total"" to the 13.8 difference from Q3 and embedded it as a constant numerator, producing multiply(divide(13.8, A), 100) instead of the correct divide(18616, 41685).",,,
Single_UNP/2008/page_79.pdf-1,0,v3_1,preprocess,preprocess/wrong-operation,"The preprocess agent ordered the sub-questions as A=2007 (471), B=2008 (431) and emitted subtract(A, B), which yields 471-431=40. The gold program is subtract(431, 471) = -40, i.e., later (2008) minus earlier (2007). The agent itself noticed the conflict (rule 2 vs rule 24) and chose the wrong one, reversing the direction of the change so the sign flipped positive. The retriever faithfully returned the correct year-tagged values, and the calculator correctly computed subtract(471,431)=40, so the mistake originated in the decomposition's ordering/operation direction.",,,
Single_VLO/2012/page_27.pdf-1,0,v3_1,preprocess,preprocess/wrong-operation,"The preprocess agent ordered the sub-questions as [2007, 2012] and emitted subtract(A, B), which yields a negative change (−8.59) when the value rose. The question is ""net change from 2007 to 2012,"" which unambiguously means new-minus-old (2012 minus 2007), matching the gold program subtract(108.59, 100.00) = +8.59. The preprocess reasoning even admits it designed the order to produce a positive result ""when the value decreases,"" but here the value increased, so the operand order was wrong-headed.",,,
Single_RE/2010/page_138.pdf-5,2,v3_1,preprocess,preprocess/wrong-operation,"The gold program computes subtract(23773, 29010) = -5237, i.e., 2010 minus 2009. The preprocessor produced exactly this ordering (A = 2010, B = 2009) in its reasoning, but then emitted the generic program ""subtract(A, B)"" without binding which cache entry is A vs B. The ordering intent was correct in the reasoning, yet the resulting answer sign is the same as gold's (-5237). In fact the gold answer is ""5237"" but the gold program produces -5237 — a contradiction within the gold itself. The pipeline faithfully executed the gold's own subtract program and produced -5237.",,,
Single_NTAP/2014/page_33.pdf-1,4,v3_1,preprocess,preprocess/misresolved-reference,"The question ""how much does this change represent in relation to the performance of that stock in 2009"" refers back to the immediately preceding turn (Q4), whose answer was the change in NASDAQ Composite performance (153.22), not the NetApp change from Q2/Q3. Preprocess anchored ""this change"" to NetApp's earlier 97.58 change instead of the most recent value (153.22), and anchored ""that stock"" to NetApp when the nearest discussed ""stock/index"" was the NASDAQ Composite. This produced the wrong operands, recomputing the already-answered Q3 (NetApp 97.58/100 = 97.6%) rather than the new follow-up about the NASDAQ Composite change relative to a 2009 base of 100 (153.22%).",,,
Double_ETR/2016/page_424.pdf,0,v3_1,retriever,retriever/wrong-value,"The retriever conflated ""drawn amount"" with ""cash borrowings."" The source text it quoted actually contains the answer — ""$4.7 million of letters of credit outstanding under the credit facility"" — but the retriever reasoned that the ""drawn amount"" means only cash borrowings (which were zero) and excluded the letters of credit. The gold answer is 4.7, meaning the drawn/outstanding amount on the facility is the $4.7 million of letters of credit (the amount drawn against the facility). By discarding that value as not-a-cash-borrowing, the retriever returned 0.",,,
Double_CMCSA/2015/page_62.pdf,0,v3_1,calculator,calculator/wrong-format,"The calculator correctly computed the quotient 1464/3339 = 0.4385, but returned the raw decimal instead of the percentage form the gold answer expects. The gold program is divide(1464, 3339) = 44%, matching the raw decimal's value ×100. The calculator failed to convert the ratio into the percentage convention required by the question wording (""ratio ... to the revenue"" with a percentage gold answer).",,,
